,val_loss,val_mae,val_mape,val_mse,loss,mae,mape,mse
0,56349199.44444445,3880.2373046875,99.53165435791016,56349200.0,5523360.988205723,793.4786376953125,94.95943450927734,5523360.5
1,55849359.55555555,3818.369873046875,92.88207244873047,55849360.0,5495199.3933318835,782.4146118164062,157.97531127929688,5495200.0
2,53218110.222222224,3514.73828125,73.93184661865234,53218108.0,5298489.923119683,744.9637451171875,742.679443359375,5298490.0
3,48602765.222222224,3144.6044921875,88.70759582519531,48602768.0,4800184.920400715,735.7459716796875,1856.5499267578125,4800185.5
4,46581608.88888889,3034.125244140625,103.32420349121094,46581612.0,4387735.827738303,720.6226806640625,1196.15478515625,4387736.0
5,45437030.0,3021.150634765625,117.06517028808594,45437036.0,4243716.28642208,700.76708984375,539.4817504882812,4243716.0
6,44086641.722222224,3042.315185546875,135.23948669433594,44086640.0,4122146.5703910477,702.1783447265625,381.2627868652344,4122146.5
7,43373692.88888889,3071.877685546875,146.9962158203125,43373692.0,4037143.110740526,708.1669311523438,334.4600524902344,4037143.0
8,43315997.777777776,3043.505859375,140.19725036621094,43315996.0,3948386.1076952824,706.6265258789062,304.3996887207031,3948386.75
9,42952897.833333336,3042.474365234375,144.01458740234375,42952900.0,3934763.544530646,678.87109375,247.1822509765625,3934763.25
10,42154913.5,3055.560302734375,151.3186798095703,42154912.0,3874817.0414974866,669.2933349609375,231.0701904296875,3874816.75
11,41836260.777777776,3013.914306640625,145.62303161621094,41836264.0,3811167.732840294,652.7371215820312,212.84698486328125,3811167.75
12,40444226.0,3072.578369140625,165.42623901367188,40444228.0,3715498.0560711524,649.4680786132812,233.49212646484375,3715499.25
13,40452989.44444445,2962.9677734375,143.8920135498047,40452992.0,3579788.02658546,648.9036865234375,283.210693359375,3579788.75
14,39823440.94444445,2980.263916015625,153.14466857910156,39823440.0,3579187.3663959783,624.5343627929688,351.822265625,3579188.0
15,38755101.55555555,2993.79541015625,163.63267517089844,38755100.0,3435240.3120649653,636.2574462890625,449.4295654296875,3435239.75
16,38737908.166666664,2887.15966796875,143.97889709472656,38737904.0,3368019.470755994,625.9111328125,524.97119140625,3368020.25
17,37235053.333333336,2948.723388671875,164.89219665527344,37235056.0,3285028.5301140756,623.9847412109375,656.1620483398438,3285028.25
