,date,region,state,cases,newCases,deaths,ML_TYPE,Y_PREDICTED,Y_ORIGINAL,ABS_ERROR,ABS_PERCENT_ERROR,SQUARED_ERROR,ROOT_SQUARED_ERROR
0,2020-02-26,Sudeste,Sí£o Paulo,1,1,0,TRAIN,-59.8,1,60.79999923706055,6079.999923706055,3696.639907226563,60.79999923706055
1,2020-02-27,Sudeste,Sí£o Paulo,1,0,0,TRAIN,-71.381004,1,72.3810043334961,7238.100433349609,5239.00978832558,72.3810043334961
2,2020-02-28,Sudeste,Sí£o Paulo,1,0,0,TRAIN,-82.96234,1,83.96234130859375,8396.234130859375,7049.674758020788,83.96234130859375
3,2020-02-29,Sudeste,Sí£o Paulo,2,1,0,TRAIN,-94.543304,2,96.54330444335938,4827.165222167969,9320.609632843174,96.54330444335938
4,2020-03-01,Sudeste,Sí£o Paulo,2,0,0,TRAIN,-88.96936,2,90.9693603515625,4548.468017578125,8275.424522772431,90.9693603515625
5,2020-03-02,Sudeste,Sí£o Paulo,2,0,0,TRAIN,-82.50331,2,84.50331115722656,4225.165557861328,7140.809596535051,84.50331115722656
6,2020-03-03,Sudeste,Sí£o Paulo,2,0,0,TRAIN,-75.16556,2,77.16555786132812,3858.2778930664062,5954.523320049979,77.16555786132812
7,2020-03-04,Sudeste,Sí£o Paulo,3,1,0,TRAIN,-67.82738,3,70.82737731933594,2360.9125773111978,5016.517377935583,70.82737731933594
8,2020-03-05,Sudeste,Rio de Janeiro,1,1,0,TRAIN,-120.14682,1,121.14682006835938,12114.682006835938,14676.552012675442,121.14682006835938
9,2020-03-05,Sudeste,Sí£o Paulo,6,3,0,TRAIN,-71.71289,6,77.712890625,1295.21484375,6039.293369293213,77.712890625
10,2020-03-06,Nordeste,Bahia,1,1,0,TRAIN,-11.052938,1,12.052938461303711,1205.293846130371,145.27332555197427,12.052938461303711
11,2020-03-06,Sudeste,Espí_rito Santo,1,1,0,TRAIN,-34.222054,1,35.22205352783203,3522.205352783203,1240.5930547174648,35.22205352783203
12,2020-03-06,Sudeste,Rio de Janeiro,1,0,0,TRAIN,-113.56677,1,114.5667724609375,11456.67724609375,13125.545352116227,114.5667724609375
13,2020-03-06,Sudeste,Sí£o Paulo,10,4,0,TRAIN,-95.53135,10,105.5313491821289,1055.313491821289,11136.86566020042,105.5313491821289
14,2020-03-07,Centro-Oeste,Distrito Federal,1,1,0,TRAIN,-88.72398,1,89.72398376464844,8972.398376464844,8050.393262598896,89.72398376464844
15,2020-03-07,Nordeste,Bahia,2,1,0,TRAIN,-41.282722,2,43.28272247314453,2164.1361236572266,1873.3940646872506,43.28272247314453
16,2020-03-07,Sudeste,Espí_rito Santo,1,0,0,TRAIN,-33.984077,1,34.98407745361328,3498.407745361328,1223.8856752804131,34.98407745361328
17,2020-03-07,Sudeste,Rio de Janeiro,2,1,0,TRAIN,-106.9863,2,108.98629760742188,5449.314880371094,11878.013066173531,108.98629760742188
18,2020-03-07,Sudeste,Sí£o Paulo,13,3,0,TRAIN,-76.156204,13,89.15620422363281,685.8169555664062,7948.828751566121,89.15620422363281
19,2020-03-08,Centro-Oeste,Distrito Federal,1,0,0,TRAIN,-72.66171,1,73.66171264648438,7366.1712646484375,5426.047910013236,73.66171264648438
