date,region,state,cases,newCases,deaths
03/07/20,Centro-Oeste,Distrito Federal,1,1,0
03/08/20,Centro-Oeste,Distrito Federal,1,0,0
03/09/20,Centro-Oeste,Distrito Federal,1,0,0
03/10/20,Centro-Oeste,Distrito Federal,1,0,0
03/11/20,Centro-Oeste,Distrito Federal,2,1,0
03/12/20,Centro-Oeste,Distrito Federal,2,0,0
03/13/20,Centro-Oeste,Distrito Federal,2,0,0
03/14/20,Centro-Oeste,Distrito Federal,6,4,0
03/15/20,Centro-Oeste,Distrito Federal,8,2,0
03/16/20,Centro-Oeste,Distrito Federal,13,5,0
03/17/20,Centro-Oeste,Distrito Federal,22,9,0
03/18/20,Centro-Oeste,Distrito Federal,26,4,0
03/19/20,Centro-Oeste,Distrito Federal,42,16,0
03/20/20,Centro-Oeste,Distrito Federal,87,45,0
03/21/20,Centro-Oeste,Distrito Federal,100,13,0
03/22/20,Centro-Oeste,Distrito Federal,117,17,0
03/23/20,Centro-Oeste,Distrito Federal,133,16,0
03/24/20,Centro-Oeste,Distrito Federal,160,27,0
03/25/20,Centro-Oeste,Distrito Federal,160,0,0
03/26/20,Centro-Oeste,Distrito Federal,200,40,0
03/27/20,Centro-Oeste,Distrito Federal,230,30,0
03/28/20,Centro-Oeste,Distrito Federal,260,30,0
03/29/20,Centro-Oeste,Distrito Federal,289,29,1
03/30/20,Centro-Oeste,Distrito Federal,312,23,1
03/31/20,Centro-Oeste,Distrito Federal,332,20,3
04/01/20,Centro-Oeste,Distrito Federal,355,23,3
04/02/20,Centro-Oeste,Distrito Federal,370,15,4
04/03/20,Centro-Oeste,Distrito Federal,402,32,5
04/04/20,Centro-Oeste,Distrito Federal,454,52,7
04/05/20,Centro-Oeste,Distrito Federal,468,14,7
04/06/20,Centro-Oeste,Distrito Federal,473,5,10
04/07/20,Centro-Oeste,Distrito Federal,492,19,12
04/08/20,Centro-Oeste,Distrito Federal,509,17,12
04/09/20,Centro-Oeste,Distrito Federal,527,18,13
04/10/20,Centro-Oeste,Distrito Federal,555,28,14
04/11/20,Centro-Oeste,Distrito Federal,579,24,14
