,dates,cases,region,state,newCases,deaths,Y_predicted,Y_original,Error
0,2020-02-26,1,,,,,,1.0,
1,2020-02-27,1,,,,,,1.0,
2,2020-02-28,1,,,,,,1.0,
3,2020-02-29,2,,,,,,2.0,
4,2020-03-01,2,,,,,,2.0,
5,2020-03-02,2,,,,,,2.0,
6,2020-03-03,2,,,,,,2.0,
7,2020-03-04,3,,,,,,3.0000000000000004,
8,2020-03-05,7,,,,,,6.999999999999999,
9,2020-03-06,13,,,,,,13.0,
10,2020-03-07,19,,,,,,18.999999999999996,
11,2020-03-08,25,,,,,144.38764526582898,24.999999999999996,4.77550581063316
12,2020-03-09,25,,,,,155.03547221209305,24.999999999999996,5.201418888483723
13,2020-03-10,34,,,,,181.52503327591361,34.00000000000001,4.338971566938635
14,2020-03-11,52,,,,,213.12271217320293,52.00000000000001,3.0985136956385175
15,2020-03-12,77,,,,,234.11199337419387,77.00000000000001,2.0404154983661535
16,2020-03-13,98,,,,,250.18432520691582,98.00000000000004,1.552901277621589
17,2020-03-14,121,,,,,349.12625540289457,121.00000000000003,1.8853409537429298
18,2020-03-15,200,,,,,387.572779216937,199.99999999999991,0.9378638960846859
19,2020-03-16,234,,,,,451.69691987103965,234.00000000000006,0.9303287173976049
20,2020-03-17,291,,,,,613.9091532911198,291.0000000000001,1.109653447735806
21,2020-03-18,428,,,,,838.1454770245991,427.9999999999999,0.9582838248238302
22,2020-03-19,621,,,,,1197.970077906179,621.0,0.9290983541162304
23,2020-03-20,904,,,,,1423.4227504895048,903.9999999999997,0.5745826885945855
24,2020-03-21,1128,,,,,1871.2208432117627,1128.0000000000005,0.658883726251562
25,2020-03-22,1546,,,,,2200.6230640721733,1545.9999999999993,0.42343018374655517
26,2020-03-23,1891,,,,,2570.733430835142,1891.0000000000002,0.35945712894507753
27,2020-03-24,2201,,,,,2807.7982757333566,2201.0,0.2756920834772179
28,2020-03-25,2433,,,,,3275.0234691406945,2432.999999999999,0.34608445094151075
29,2020-03-26,2915,,,,,3973.0769921164956,2915.0,0.36297666967975833
30,2020-03-27,3417,,,,,4435.296179660223,3416.9999999999973,0.29800883220960683
31,2020-03-28,3903,,,,,4878.054204582041,3902.9999999999995,0.2498217280507409
32,2020-03-29,4256,,,,,4810.047250751481,4256.000000000002,0.13018027508258445
33,2020-03-30,4579,,,,,6455.275583020575,4578.999999999998,0.4097566243766276
34,2020-03-31,5717,,,,,7919.790620489892,5717.000000000004,0.385305338549919
35,2020-04-01,6834,,,,,9150.323526653614,6833.9999999999945,0.3389411072071439
36,2020-04-02,7910,,,,,9940.25125830793,7909.999999999998,0.2566689327822923
37,2020-04-03,9056,,,,,11025.610918834975,9056.000000000005,0.2174923717794797
38,2020-04-04,10278,,,,,12060.237198119896,10278.000000000002,0.17340311326327046
39,2020-04-05,11130,,,,,13276.203955811088,11129.999999999995,0.19283054409803188
40,2020-04-06,12056,,,,,15486.607759163904,12055.999999999996,0.2845560516891099
41,2020-04-07,13717,,,,,17415.41993155505,13717.000000000004,0.2696230904392393
42,2020-04-08,15927,,,,,19973.28871609664,15927.000000000005,0.2540521577256628
43,2020-04-09,17857,,,,,21482.874347344183,17857.00000000001,0.20305058785597635
44,2020-04-10,19638,,,,,21908.902362834844,19638.00000000001,0.11563816900065342
45,2020-04-11,20727,,,,,23283.280069285804,20726.999999999996,0.12333092436367095
46,2020-04-12,22169,,,,,25610.898011054516,22168.99999999999,0.1552572516150719
47,2020-04-13,23430,,,,,27852.263321403225,23429.999999999996,0.1887436330091007
48,2020-04-14,25262,,,,,31195.487120439262,25261.99999999998,0.2348779637573939
49,2020-04-15,28320,,,,,32746.654517634714,28320.000000000007,0.15630842223286387
50,2020-04-16,30425,,,,,36495.186269218175,30424.999999999996,0.19951310663001412
51,2020-04-17,33682,,,,,39272.6929960924,33681.999999999985,0.16598459106028204
52,2020-04-18,36599,,,,,41503.100476129104,36598.99999999998,0.1339954773662977
53,2020-04-19,38654,,,,,43271.65383231181,38654.0,0.11946121571666082
54,2020-04-20,40581,,,,,46312.20314553595,40581.00000000001,0.14122873131603308
55,2020-04-21,43079,,,,,49479.195396724885,43079.00000000004,0.14856880142818643
56,2020-04-22,45757,,,,,53022.28829258749,45756.99999999997,0.15877982150463363
57,2020-04-23,49492,,,,,58323.25210198702,49491.99999999999,0.1784379718335696
58,2020-04-24,52995,,,,,62404.467023681005,52994.999999999985,0.177553864018889
59,2020-04-25,58509,,,,,66321.43042208978,58508.999999999956,0.133525276830741
60,2020-04-26,61888,,,,,71251.65814334119,61888.00000000002,0.151300060485735
61,2020-04-27,66501,,,,,77743.54418454827,66501.00000000006,0.16905827257557335
62,2020-04-28,71886,,,,,83988.14342179301,71886.0,0.168351882449893
63,2020-04-29,78162,,,,,91713.75246922113,78161.99999999999,0.17338031868710047
64,2020-04-30,85380,,,,,98520.96086850483,85379.99999999997,0.153911464845454
65,2020-05-01,91299,,,,,106695.17697077667,91299.00000000003,0.1686346725678992
66,2020-05-02,96396,,,,,112856.36362022694,96395.99999999993,0.1707577453444855
67,2020-05-03,101147,,,,,122852.15379556318,101146.99999999993,0.21459018849361097
68,2020-05-04,107780,,,,,131516.6829669717,107780.00000000001,0.22023272376110312
69,2020-05-05,114715,,,,,142132.6005393836,114715.00000000006,0.23900623753984676
70,2020-05-06,125218,,,,,152542.9068670587,125217.99999999997,0.2182186815558364
71,2020-05-07,135106,,,,,165805.39455936168,135105.99999999994,0.22722450934349142
72,2020-05-08,145328,,,,,176604.71229041697,145328.00000000012,0.215214633727959
73,2020-05-09,155939,,,,,190960.7134194187,155938.99999999997,0.22458598182249936
74,2020-05-10,162699,,,,,203734.49218616946,162698.99999999985,0.2522172366527738
75,2020-05-11,168331,,,,,221517.85160677775,168331.0,0.31596587441872115
76,2020-05-12,177589,,,,,235768.96988398174,177589.0,0.3276102116909366
77,2020-05-13,188974,,,,,255942.45184133132,188973.99999999988,0.35437918359843934
78,2020-05-14,202918,,,,,273930.20266882936,202918.00000000003,0.34995516745103594
